community_id,size,mean_similarity,representatives,category,subcategory
10,32,0.33505377173423767,"interest allocation, interest rate tax, interest cash balance, plan asset interest, interest average, rate tax expense",not intangible investment,
0,31,0.3552931547164917,"obligation collaboration cost, connection research development, relation expense, group affiliate charge, responsibility collaborator time, collaborator time amount",intangible investment,knowledge capital
14,28,0.5005797743797302,"store brand marketing, sale marketing distribution, marketing development technology, spending sale marketing, marketing expense percentage, performance marketing cost",intangible investment,brand or customer capital
16,24,0.5486290454864502,"development cost payment, development activity cost, development activity expense, development activity product, development expense account, development function cost",intangible investment,knowledge capital
18,23,0.4792484939098358,"equity method investment, purchase employee stock, stock purchase plan, employee stock purchase, cost stock, stock option purchase",not intangible investment,
19,21,0.4226754605770111,"consolidation asset sale, asset sale transaction, merger consolidation asset, mix shift, factor scope progress, indication scope progress",not intangible investment,
5,21,0.6443776488304138,"product candidate use, advance product candidate, product candidate development, review product candidate, product candidate number, product candidate research",intangible investment,knowledge capital
7,21,0.5199236273765564,"laboratory supply research, personnel laboratory supply, study laboratory supply, laboratory supply equipment, lab supply, cost laboratory supply",intangible investment,knowledge capital
1,21,0.4609224796295166,"product technology, product development personnel, technology innovation, design development technology, technology operation customer, product design development",intangible investment,knowledge capital
13,21,0.4470076858997345,"loan credit agreement, credit agreement instance, debt enter, term loan credit, loan term, agreement contract research",not intangible investment,
12,20,0.4239746630191803,"compliance insurance cost, insurance compliance rule, audit service insurance, anticipate incur accounting, insurance expense technology, incur accounting audit",not intangible investment,
9,19,0.46843278408050537,"service activity, service table activity, state service table, class state service, service research development, operating activity twelve",unknown,
3,18,0.6185153126716614,"expense research development, research development expense, research development cost, cost research development, research development function, research development activity",intangible investment,knowledge capital
17,17,0.4745781719684601,"expense net non, net expense percentage, earnings expense net, net non measure, loss net cash, tax expense net",not intangible investment,
2,16,0.49829745292663574,"expense operating loss, operation interest expense, expense operation interest, operation expense, operating expense facility, facility depreciation expense",not intangible investment,
15,15,0.5435985922813416,"cro conduct research, development research, conduct research development, research development effort, development effort research, research development project",intangible investment,knowledge capital
8,14,0.6488638520240784,"manufacture drug product, drug sale marketing, product drug supply, drug supply maintain, commercialization activity drug, activity drug sale",intangible investment,brand or customer capital
4,14,0.6253388524055481,"compensation expense performance, compensation expense product, compensation charge comparison, compensation level performance, compensation cash, cash compensation expense",intangible investment,organization capital
6,12,0.6501350402832031,"payroll benefit expense, payroll tax benefit, cost commerce payroll, commerce payroll cost, payroll employee, expense store payroll",intangible investment,organization capital
11,11,0.6480729579925537,"expense rent utility, cost expense rent, expense rent maintenance, rent fee, rent utility insurance, rent office expense",not intangible investment,
